2001.38a, b;://www.metmuseum.org/art/collection/search/26596
2000.595;://www.metmuseum.org/art/collection/search/26619
36.25.35;://www.metmuseum.org/art/collection/search/26806
36.25.698a, b;://www.metmuseum.org/art/collection/search/26812
1986.316;://www.metmuseum.org/art/collection/search/27173
36.25.27;://www.metmuseum.org/art/collection/search/27795
46.121.1–2;://www.metmuseum.org/art/collection/search/27888
41.100.39;://www.metmuseum.org/art/collection/search/29387
36.149.2;://www.metmuseum.org/art/collection/search/29616
36.25.2802;://www.metmuseum.org/art/collection/search/30130
36.25.2881;://www.metmuseum.org/art/collection/search/30172
36.25.2882;://www.metmuseum.org/art/collection/search/30173
36.25.2883;://www.metmuseum.org/art/collection/search/30174
36.25.2890;://www.metmuseum.org/art/collection/search/30180
36.25.2785;://www.metmuseum.org/art/collection/search/30253
36.25.2787;://www.metmuseum.org/art/collection/search/30255
36.25.2791;://www.metmuseum.org/art/collection/search/30259
36.25.2796;://www.metmuseum.org/art/collection/search/30264
36.25.2418;://www.metmuseum.org/art/collection/search/30359
36.25.2419;://www.metmuseum.org/art/collection/search/30360
36.25.2423;://www.metmuseum.org/art/collection/search/30363
36.25.2327;://www.metmuseum.org/art/collection/search/30427
36.25.2375;://www.metmuseum.org/art/collection/search/30471
36.25.2141;://www.metmuseum.org/art/collection/search/30586
36.25.2153;://www.metmuseum.org/art/collection/search/30594
36.25.1930;://www.metmuseum.org/art/collection/search/30743
36.25.1952;://www.metmuseum.org/art/collection/search/30764
36.25.1840;://www.metmuseum.org/art/collection/search/30818
36.25.1844;://www.metmuseum.org/art/collection/search/30822
36.25.1868;://www.metmuseum.org/art/collection/search/30844
36.25.1874;://www.metmuseum.org/art/collection/search/30850
36.25.1880;://www.metmuseum.org/art/collection/search/30856
36.25.1898;://www.metmuseum.org/art/collection/search/30871
36.25.1606;://www.metmuseum.org/art/collection/search/30908
36.25.1607;://www.metmuseum.org/art/collection/search/30909
36.25.1630a, b;://www.metmuseum.org/art/collection/search/30931
36.25.1634;://www.metmuseum.org/art/collection/search/30934
36.25.1506a, b;://www.metmuseum.org/art/collection/search/30963
36.25.1521;://www.metmuseum.org/art/collection/search/30975
36.25.1529;://www.metmuseum.org/art/collection/search/30983
36.25.1532a–d;://www.metmuseum.org/art/collection/search/30986
36.25.1535;://www.metmuseum.org/art/collection/search/30989
36.25.1542a, b;://www.metmuseum.org/art/collection/search/30994
36.25.1545;://www.metmuseum.org/art/collection/search/30997
36.25.1547a, b;://www.metmuseum.org/art/collection/search/30999
36.25.1564;://www.metmuseum.org/art/collection/search/31015
36.25.1568;://www.metmuseum.org/art/collection/search/31019
36.25.1572;://www.metmuseum.org/art/collection/search/31023
36.25.1573;://www.metmuseum.org/art/collection/search/31024
36.25.1579;://www.metmuseum.org/art/collection/search/31030
36.25.1580;://www.metmuseum.org/art/collection/search/31031
36.25.1594;://www.metmuseum.org/art/collection/search/31044
36.25.1596;://www.metmuseum.org/art/collection/search/31046
36.25.1494a, b;://www.metmuseum.org/art/collection/search/31121
36.25.1302a, b;://www.metmuseum.org/art/collection/search/31128
36.25.1304a, b;://www.metmuseum.org/art/collection/search/31130
36.25.1313;://www.metmuseum.org/art/collection/search/31139
36.25.1326;://www.metmuseum.org/art/collection/search/31151
36.25.1328a, b;://www.metmuseum.org/art/collection/search/31153
36.25.1330;://www.metmuseum.org/art/collection/search/31155
36.25.1356;://www.metmuseum.org/art/collection/search/31181
36.25.1279;://www.metmuseum.org/art/collection/search/31290
36.25.1280;://www.metmuseum.org/art/collection/search/31291
36.25.1281;://www.metmuseum.org/art/collection/search/31292
36.25.1282;://www.metmuseum.org/art/collection/search/31293
36.25.1283;://www.metmuseum.org/art/collection/search/31294
36.25.1289;://www.metmuseum.org/art/collection/search/31297
36.25.1296;://www.metmuseum.org/art/collection/search/31303
36.25.1001a, b;://www.metmuseum.org/art/collection/search/31401
36.25.1003a, b;://www.metmuseum.org/art/collection/search/31403
36.25.1008;://www.metmuseum.org/art/collection/search/31406
36.25.1010;://www.metmuseum.org/art/collection/search/31407
36.25.1011;://www.metmuseum.org/art/collection/search/31408
36.25.1012;://www.metmuseum.org/art/collection/search/31409
36.25.1013;://www.metmuseum.org/art/collection/search/31410
36.25.1014;://www.metmuseum.org/art/collection/search/31411
36.25.1015;://www.metmuseum.org/art/collection/search/31412
36.25.1016;://www.metmuseum.org/art/collection/search/31413
36.25.1017;://www.metmuseum.org/art/collection/search/31414
36.25.1018;://www.metmuseum.org/art/collection/search/31415
36.25.1019;://www.metmuseum.org/art/collection/search/31416
36.25.1020;://www.metmuseum.org/art/collection/search/31417
36.25.1021;://www.metmuseum.org/art/collection/search/31418
36.25.1022;://www.metmuseum.org/art/collection/search/31419
36.25.1023;://www.metmuseum.org/art/collection/search/31420
36.25.1024;://www.metmuseum.org/art/collection/search/31421
36.25.1025;://www.metmuseum.org/art/collection/search/31422
36.25.1026;://www.metmuseum.org/art/collection/search/31423
36.25.1027;://www.metmuseum.org/art/collection/search/31424
36.25.1028;://www.metmuseum.org/art/collection/search/31425
36.25.1029;://www.metmuseum.org/art/collection/search/31426
36.25.1030;://www.metmuseum.org/art/collection/search/31427
36.25.1031a, b;://www.metmuseum.org/art/collection/search/31428
36.25.1032a, b;://www.metmuseum.org/art/collection/search/31429
36.25.1033a, b;://www.metmuseum.org/art/collection/search/31430
36.25.1034a–c;://www.metmuseum.org/art/collection/search/31431
36.25.1035a–d;://www.metmuseum.org/art/collection/search/31432
36.25.1037a, b;://www.metmuseum.org/art/collection/search/31434
36.25.1038;://www.metmuseum.org/art/collection/search/31435
36.25.1039;://www.metmuseum.org/art/collection/search/31436
36.25.1040a, b;://www.metmuseum.org/art/collection/search/31437
36.25.1042;://www.metmuseum.org/art/collection/search/31439
36.25.1044a, b;://www.metmuseum.org/art/collection/search/31440
36.25.1045a, b;://www.metmuseum.org/art/collection/search/31441
36.25.1046a, b;://www.metmuseum.org/art/collection/search/31442
36.25.1047;://www.metmuseum.org/art/collection/search/31443
36.25.1048a, b;://www.metmuseum.org/art/collection/search/31444
36.25.1050a–c;://www.metmuseum.org/art/collection/search/31446
36.25.1051a, b;://www.metmuseum.org/art/collection/search/31447
36.25.1052a, b;://www.metmuseum.org/art/collection/search/31448
36.25.1053;://www.metmuseum.org/art/collection/search/31449
36.25.1057a, b;://www.metmuseum.org/art/collection/search/31453
36.25.1059;://www.metmuseum.org/art/collection/search/31455
36.25.1061a–d;://www.metmuseum.org/art/collection/search/31457
36.25.1062a, b;://www.metmuseum.org/art/collection/search/31458
36.25.1063;://www.metmuseum.org/art/collection/search/31459
36.25.1064;://www.metmuseum.org/art/collection/search/31460
36.25.1065a, b;://www.metmuseum.org/art/collection/search/31461
36.25.1066a, b;://www.metmuseum.org/art/collection/search/31462
36.25.1067a, b;://www.metmuseum.org/art/collection/search/31463
36.25.1069a, b;://www.metmuseum.org/art/collection/search/31465
36.25.1070a, b;://www.metmuseum.org/art/collection/search/31466
